Gender,Shanghai_ranking,Publications,Citations,Recommendations,Interest score,Reads,h index,PISA rank,GDP (Millions $),HDI score,Position rank,Average h index
0,47,186,8840,41,4131,29658,43,19,23315081,0.921,3,26.894334
1,47,66,880,10,5177,23354,16,19,23315081,0.921,2,26.894334
1,47,105,2600,4,1339,5896,29,19,23315081,0.921,0,26.894334
0,47,109,3698,18,1770,4912,33,19,23315081,0.921,0,26.894334
0,47,89,13671,12,6681,6820,30,19,23315081,0.921,3,26.894334
1,47,100,3011,1,1357,3983,30,19,23315081,0.921,3,26.894334
0,47,39,1039,92,7417,9980,15,19,23315081,0.921,3,26.894334
0,47,178,8078,16,3725,11540,47,19,23315081,0.921,0,26.894334
1,47,165,1242,23,6016,6816,17,19,23315081,0.921,3,26.894334
1,47,96,2381,246,1545,18826,10,19,23315081,0.921,3,26.894334
0,47,126,5393,13,2945,89274,36,19,23315081,0.921,3,26.894334
0,47,43,1104,11,6939,35746,16,19,23315081,0.921,3,26.894334
1,47,313,16589,130,8583,52798,66,19,23315081,0.921,3,26.894334
1,47,44,1041,8,5327,5803,15,19,23315081,0.921,3,26.894334
1,47,78,998,46,5636,36893,20,19,23315081,0.921,1,26.894334
1,47,50,386,14,1992,2499,11,19,23315081,0.921,2,26.894334
1,47,298,31653,45,16243,87186,73,19,23315081,0.921,3,26.894334
1,47,82,703,23,3019,6898,15,19,23315081,0.921,3,26.894334
1,47,59,1018,55,5255,8214,16,19,23315081,0.921,3,26.894334
1,47,66,14004,23,6756,18447,14,19,23315081,0.921,2,26.894334
1,47,31,19421,14,10599,91124,19,19,23315081,0.921,3,26.894334
1,47,142,4955,41,2492,46224,35,19,23315081,0.921,0,26.894334
0,47,58,2270,27,1523,45631,17,19,23315081,0.921,3,26.894334
1,47,114,3013,3,1380,8117,30,19,23315081,0.921,3,26.894334
0,47,154,6802,67,3270,13568,33,19,23315081,0.921,2,26.894334
0,47,54,2045,4,9993,3924,20,19,23315081,0.921,3,26.894334
1,47,36,333,0,1713,1576,9,19,23315081,0.921,0,26.894334
1,47,1012,61367,2958,37641,358522,117,19,23315081,0.921,3,26.894334
0,47,67,2367,22,1132,5879,25,19,23315081,0.921,3,26.894334
0,47,36,1178,31,6657,14111,14,19,23315081,0.921,3,26.894334
1,47,49,4782,33,1918,7670,31,19,23315081,0.921,3,26.894334
0,47,152,9265,14,4271,14794,43,19,23315081,0.921,3,26.894334
1,47,69,3366,17,1564,4412,28,19,23315081,0.921,2,26.894334
1,47,137,1512,12,6932,9137,20,19,23315081,0.921,2,26.894334
1,47,52,611,51,3860,6672,13,19,23315081,0.921,3,26.894334
0,47,190,4429,34,2199,15411,36,19,23315081,0.921,3,26.894334
0,47,149,10969,184,6431,118990,49,19,23315081,0.921,3,26.894334
1,47,153,1115,64,7495,30955,15,19,23315081,0.921,0,26.894334
1,47,73,1905,14,9800,11207,11,19,23315081,0.921,3,26.894334
1,47,90,2191,89,1087,14028,28,19,23315081,0.921,3,26.894334
0,47,59,3133,15,1601,9146,20,19,23315081,0.921,3,26.894334
1,47,58,1526,32,9549,21828,19,19,23315081,0.921,3,26.894334
1,47,73,2681,21,1395,16939,29,19,23315081,0.921,3,26.894334
1,47,36,2145,24,1071,6261,17,19,23315081,0.921,3,26.894334
0,47,111,1218,32,6047,4474,21,19,23315081,0.921,0,26.894334
1,47,52,630,17,3046,6368,12,19,23315081,0.921,3,26.894334
0,47,92,6246,86,2780,9625,30,19,23315081,0.921,0,26.894334
1,47,113,1944,6,1043,13940,24,19,23315081,0.921,4,26.894334
1,47,240,11963,16,5806,15053,54,19,23315081,0.921,3,26.894334
1,47,98,1067,1,5234,4875,15,19,23315081,0.921,0,26.894334
0,47,52,623,15,3272,5726,13,19,23315081,0.921,3,26.894334
1,47,148,3005,1,1279,6592,30,19,23315081,0.921,0,26.894334
1,47,78,5698,13,3166,87691,29,19,23315081,0.921,3,26.894334
0,47,65,974,40,4790,5097,17,19,23315081,0.921,3,26.894334
0,47,42,649,5,3602,5178,14,19,23315081,0.921,3,26.894334
0,47,32,337,2,2205,10181,9,19,23315081,0.921,0,26.894334
