,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
30,Sara Freedman,male,PhD,Israel,Bar Ilan University,301,School of Social Work,Cognitive Behavioral Therapy|Clinical Research,68.0,3791.0,20.0,Prospective Study of Posttraumatic Stress Disorder and Depression Following Trauma,1996.0,24873.0,23.0,https://www.researchgate.net/profile/Sara-Freedman
31,Rivka Tuval-Mashiach,male,Ph.D,Israel,Bar Ilan University,301,Department of Psychology,Psychotherapy|Eating Disorders|Psychosis,93.0,3669.0,34.0,"Narrative Research: Reading, Analysis, and Interpretation",2239.0,47236.0,22.0,https://www.researchgate.net/profile/Rivka-Tuval-Mashiach
32,Asher Shainberg,male,Professor,Israel,Bar Ilan University,301,Faculty of Life Sciences,Hypoxia|Antioxidant Activity|Electromagnetic Fields,249.0,5752.0,28.0,Enzyme activities during muscle differentiation,2462.0,12180.0,40.0,https://www.researchgate.net/profile/Asher-Shainberg
33,Shlomo -- Yehuda,male,"Ph.D., Prof.",Israel,Bar Ilan University,301,Department of Psychology,Self Administration|Neurodegeneration,195.0,6734.0,15.0,The Use of the Morris Water Maze in the Study of Memory and Learning,3020.0,19190.0,43.0,https://www.researchgate.net/profile/Shlomo-Yehuda
34,Sharon Gilaie-Dotan,male,PhD,Israel,Bar Ilan University,301,School of Optometry and Vision Science,Cognitive Neuroscience|Neuroscience|Cognitive Psychology,72.0,1176.0,10.0,Seeing with Profoundly Deactivated Mid-level Visual Areas: Non-hierarchical Functioning in the Human Visual Cortex,5688.0,6742.0,20.0,https://www.researchgate.net/profile/Sharon-Gilaie-Dotan
35,Meir Shamay,male,Ph.D.,Israel,Bar Ilan University,301,Faculty of Medicine in the Galilee,Cancer Biology|Molecular Biology|Epstein Barr virus,41.0,879.0,7.0,Hepatitis B Virus pX Targets TFIIB in Transcription Coactivation,4248.0,2413.0,14.0,https://www.researchgate.net/profile/Meir-Shamay
36,Arie Zaban,male,PhD,Israel,Bar Ilan University,301,Department of Chemistry,Impedance Spectroscopy|Dye-sensitized Solar Cells|Solar Cells,217.0,20738.0,83.0,Determination of the Electron Lifetime in Nanocrystalline Dye Solar Cells by Open-Circuit Voltage Decay Measurements,10323.0,49137.0,72.0,https://www.researchgate.net/profile/Arie-Zaban
37,Ehud Bodner,male,PhD,Israel,Bar Ilan University,301,Interdisciplinary Department of Social Sciences,Psychopathology|Mental Illness|Clinical Psychology,153.0,3812.0,47.0,"The Loneliness Pandemic: Loneliness and Other Concomitants of Depression, Anxiety and their Comorbidity During the COVID-19 Outbreak",2078.0,40714.0,33.0,https://www.researchgate.net/profile/Ehud-Bodner
38,Ronit Sarid,male,Nan,Israel,Bar Ilan University,301,Faculty of Life Sciences,Nan,94.0,5290.0,13.0,Diverse Herpesvirus MicroRNAs Target the Stress-induced Immune Ligand MICB to Escape Recognition by Natural Killer Cells,2448.0,6732.0,31.0,https://www.researchgate.net/profile/Ronit-Sarid
39,Moshe Dessau,male,PhD,Israel,Bar Ilan University,301,Faculty of Medicine in the Galilee,X-ray Crystallography|Protein Characterization|Protein Chromatography,46.0,744.0,23.0,Crystal Structure of Dengue Virus Type 1 Envelope Protein in the Postfusion Conformation and Its Implications for Membrane Fusion,4410.0,13219.0,15.0,https://www.researchgate.net/profile/Moshe-Dessau
40,Orit Shefi,male,PhD,Israel,Bar Ilan University,301,Faculty of Engineering,Neuron|Self-Organization|Leeches,99.0,1981.0,44.0,Morphological characterization of in-vitro neuronal network,9687.0,17031.0,27.0,https://www.researchgate.net/profile/Orit-Shefi
41,Ricky Finzi-Dottan,male,Prof.,Israel,Bar Ilan University,301,School of Social Work,Child Development|Adolescent Development|Clinical Psychology,75.0,1547.0,15.0,Attachment Styles and Aggression in Physically Abused and Neglected Children,1259.0,56653.0,20.0,https://www.researchgate.net/profile/Ricky-Finzi-Dottan
42,Avi Pe'er,male,PhD,Israel,Bar Ilan University,301,Department of Physics,Laser|Optics|Photonics,139.0,3938.0,22.0,A High Phase-Space-Density Gas of Polar Molecules,1900.0,14234.0,22.0,https://www.researchgate.net/profile/Avi-Peer
43,Rakefet Schwarz,male,Nan,Israel,Bar Ilan University,301,Faculty of Life Sciences,Mutation Analysis|Cyanobacteria|Molecular Biology,63.0,2230.0,14.0,Genes Encoding A-Type Flavoproteins Are Essential for Photoreduction of O2 in Cyanobacteria,9933.0,6158.0,27.0,https://www.researchgate.net/profile/Rakefet-Schwarz
44,Eli Barkai,male,Nan,Israel,Bar Ilan University,301,Department of Physics,Single Molecules|Statistical Mechanics|Optical Lattices,289.0,14877.0,153.0,"Anomalous diffusion models and their properties: Non-stationarity, non-ergodicity, and ageing at the centenary of single particle tracking",6896.0,34697.0,60.0,https://www.researchgate.net/profile/Eli-Barkai
45,Shulamit Michaeli,male,Ph.D.,Israel,Bar Ilan University,301,Faculty of Life Sciences,Trypanosoma|Tropical Diseases|Parasitology,270.0,5446.0,72.0,"The Genome of the Kinetoplastid Parasite, Leishmania major",2278.0,16834.0,36.0,https://www.researchgate.net/profile/Shulamit-Michaeli
46,Shemy Carasso,male,MD,Israel,Bar Ilan University,301,Faculty of Medicine in the Galilee,Cardiac Echocardiography|Cardiomyopathies|Knowledge Management,148.0,2025.0,13.0,Systolic Myocardial Mechanics in Hypertrophic Cardiomyopathy: Novel Concepts and Implications for Clinical Status,9491.0,5915.0,26.0,https://www.researchgate.net/profile/Shemy-Carasso
47,Y. Steinberger,male,"Prof. , PhD",Israel,Bar Ilan University,301,Faculty of Life Sciences,Environmental Impact Assessment|Urban Planning|Soil Analysis,289.0,6571.0,152.0,A proposed mechanism for the formation of ‘Fertile Island’ in the desert ecosystem,3304.0,35688.0,42.0,https://www.researchgate.net/profile/Y-Steinberger
48,Ilanit Gordon,male,PhD,Israel,Bar Ilan University,301,Department of Psychology; Gonda Brain Center,Child Development|Cognitive Neuroscience|Executive Function,73.0,4603.0,35.0,Natural variations in maternal and paternal care are associated with systemic changes in oxytocin following parent-infant contact,2395.0,19384.0,24.0,https://www.researchgate.net/profile/Ilanit-Gordon
